Tier,Segment,Institution_Name,Chief Information Security Officer,Head of Governance Risk & Compliance,Chief Financial Officer,Chief Risk Officer,Head of Compliance,Chief Information Officer,Head of Internal Audit
3,MSBs,2C2P (Malaysia) Sdn Bhd,NOT FOUND,,,,,,
6,Fintech Sandbox,AEON Bank (M) Berhad,NOT FOUND,,,,,,
6,Fintech Sandbox,AEON Bank Berhad,NOT FOUND,,,,,,
4,E-Money,AEON Wallet (AEON Credit),NOT FOUND,,,,,,
2,Insurers,AIA Berhad,Chee Lung Yuen,Datin Veronica Selvanayagy,Edwin Peh,Tan Teoh Guan,Tan Teoh Guan,Sherlly Yuan Xiaoli,
2,Insurers,AIA General Berhad,,Datin Veronica Selvanayagy,Edwin Peh,Tan Teoh Guan,Nanthini Kandasamy,Sherlly Yuan Xiaoli,
2,Takaful,AIA Public Takaful Berhad,,Datin Veronica Selvanayagy,Edwin Peh,Tan Teoh Guan,Ahmad Faisal Ahamad Nawawi,Sherlly Yuan Xiaoli,
2,Investment Banks,Affin Investment Bank Berhad,Teng Wei Lim,"Cheong Dang, Adzamimah Adzmi",Joanne Rodrigues,Cheong Dang,Adzamimah Adzmi,"Wan Razly Bin Wan Ali, Risham Kamaruzaman",Wahdania Binti Mohd Khir
5,GLC-Linked,Agensi Jaminan Kredit Mikro (AKM),NOT FOUND,,,,,,
3,Development FIs,Agrobank Malaysia,Nolan Jeffrey A/L Abdul Hai,"Encik Hussien Mullar, Encik Fairoshawal Idrus",Encik Zulkeefli Mad Karim,Encik Hussien Mullar,Encik Fairoshawal Idrus,Nolan Jeffrey A/L Abdul Hai,Encik Kamarudin Samsudin
4,E-Money,Alipay+ Malaysia (Ant Group),,,,,,,
1,Licensed Banks,Alliance Bank Malaysia Berhad,William Song,Jacob Abraham,Ronnie Royston Fernandiz,Jacob Abraham,Jacob Abraham,Nantha Kumar Subramanian,Andrew Ng Yin Min
2,Investment Banks,Alliance Investment Bank Berhad,William Song,Jacob Abraham,Ronnie Royston Fernandiz,Jacob Abraham,Jacob Abraham,Nantha Kumar Subramanian,Andrew Ng Yin Min
1,Licensed Banks,Alliance Islamic Bank Berhad,William Song,Jacob Abraham,Ronnie Royston Fernandiz,Jacob Abraham,Jacob Abraham,Nantha Kumar Subramanian,Andrew Ng Yin Min
2,Insurers,Allianz General Insurance Company (Malaysia) Berhad,NOT FOUND,NOT FOUND,Chin Xiao Wei,NOT FOUND,NOT FOUND,David Brandl,NOT FOUND
2,Insurers,Allianz Life Insurance Malaysia Berhad,NOT FOUND,NOT FOUND,Giulio Slavich,NOT FOUND,NOT FOUND,David Brandl,NOT FOUND
2,Takaful,Allianz Takaful Berhad,NOT FOUND,NOT FOUND,Xiao Chin,NOT FOUND,NOT FOUND,David Brandl,NOT FOUND
1,Licensed Banks,AmBank (M) Berhad,Malini Kanesamoorthy,"Shamsul Bahrom, Faradina Ghouse",Phuah Shok Cheng,Shamsul Bahrom Bin Mohamed Ibrahim,Faradina Binti Mohammad Ghouse,Wong Eng Teng,Ng Ek Leong
4,Card Schemes,AmBank AirAsia Visa Card,,"Shamsul Bahrom, Faradina Ghouse",,,,,
1,Licensed Banks,AmBank Islamic Berhad,Malini Kanesamoorthy,"Shamsul Bahrom, Faradina Ghouse",Phuah Shok Cheng,Shamsul Bahrom Bin Mohamed Ibrahim,Faradina Binti Mohammad Ghouse,Wong Eng Teng,Ng Ek Leong
2,Investment Banks,AmInvestment Bank Berhad,Malini Kanesamoorthy,"Shamsul Bahrom Bin Mohamed Ibrahim, Faradina Binti Mohammad Ghouse",Phuah Shok Cheng,Shamsul Bahrom Bin Mohamed Ibrahim,Faradina Binti Mohammad Ghouse,Wong Eng Teng,Ng Ek Leong
2,Insurers,AmMetLife Insurance Berhad,,,Michelle Cheang,Low Siew Mooi,,Loh Tian Hu,
