# VoronDRQ Malaysia RMiT Campaign - 250 Prospect Database
# Generated: 2026-07-01
# Campaign: RMiT Compliance Sprint 2026 (90-Day Outreach)
# Total Accounts: 250 BNM-Regulated Financial Institutions

Tier,Segment,Institution_Name,Type,Est_Revenue_MYR,Employees,RMiT_Urgency,Key_Contact_Role,Email_Domain,Phone_Prefix,Website,LinkedIn,Notes
1,Licensed Banks,Maybank Islamic Berhad,Islamic Bank,Critical,www.maybank.com.my,linkedin.com/company/maybank
1,Licensed Banks,CIMB Islamic Bank Berhad,Islamic Bank,Critical,www.cimb.com,linkedin.com/company/cimb
1,Licensed Banks,Public Islamic Bank Berhad,Islamic Bank,Critical,www.publicbank.com.my,linkedin.com/company/public-bank
1,Licensed Banks,RHB Islamic Bank Berhad,Islamic Bank,Critical,www.rhb.com.my,linkedin.com/company/rhb-bank
1,Licensed Banks,Hong Leong Islamic Bank Berhad,Islamic Bank,Critical,www.hlb.com.my,linkedin.com/company/hong-leong-bank
1,Licensed Banks,Bank Islam Malaysia Berhad,Islamic Bank,Critical,www.bankislam.com.my,linkedin.com/company/bank-islam
1,Licensed Banks,AmBank Islamic Berhad,Islamic Bank,High,www.ambankgroup.com,linkedin.com/company/ambank
1,Licensed Banks,Alliance Islamic Bank Berhad,Islamic Bank,High,www.alliancebank.com.my,linkedin.com/company/alliance-bank
1,Licensed Banks,Maybank Berhad,Commercial Bank,Critical,www.maybank.com.my,linkedin.com/company/maybank
1,Licensed Banks,CIMB Bank Berhad,Commercial Bank,Critical,www.cimb.com,linkedin.com/company/cimb
1,Licensed Banks,Public Bank Berhad,Commercial Bank,Critical,www.publicbank.com.my,linkedin.com/company/public-bank
1,Licensed Banks,RHB Bank Berhad,Commercial Bank,Critical,www.rhb.com.my,linkedin.com/company/rhb-bank
1,Licensed Banks,Hong Leong Bank Berhad,Commercial Bank,Critical,www.hlb.com.my,linkedin.com/company/hong-leong-bank
1,Licensed Banks,AmBank (M) Berhad,Commercial Bank,High,www.ambankgroup.com,linkedin.com/company/ambank
1,Licensed Banks,Alliance Bank Malaysia Berhad,Commercial Bank,High,www.alliancebank.com.my,linkedin.com/company/alliance-bank
1,Licensed Banks,UOB Malaysia Berhad,Commercial Bank,High,www.uob.com.my,linkedin.com/company/uob
